Authorships Countries,,
name,count,
China,731673,
United States of America,580078,
India,335051,
Indonesia,270084,
United Kingdom of Great Britain and Northern Ireland,173776,
Germany,169348,
France,152531,
Japan,111713,
Canada,100584,
Italy,94070,
Russian Federation,87202,
Spain,86228,
Brazil,82948,
"Korea, Republic of",79986,
Australia,79256,
Netherlands,47076,
Turkey,41226,
"Iran, Islamic Republic of",40880,
"Taiwan, Province of China",40319,
Switzerland,40304,
Malaysia,40256,
Hong Kong,38804,
Saudi Arabia,38075,
Poland,37789,
Singapore,35945,
Sweden,33335,
Austria,30897,
Mexico,29750,
Pakistan,29373,
Israel,26766,
Belgium,25918,
Portugal,25917,
Greece,24710,
Ukraine,24405,
Finland,23151,
Czechia,22431,
Egypt,21557,
Norway,19094,
Denmark,19052,
Iraq,17155,
Romania,16466,
Viet Nam,16090,
Ireland,15519,
Morocco,15121,
United Arab Emirates,14962,
Nigeria,14829,
Colombia,14823,
Bangladesh,14201,
South Africa,14145,
Thailand,13843,
Algeria,13401,
Tunisia,12495,
New Zealand,12167,
Jordan,11344,
Ecuador,11241,
Hungary,11138,
Argentina,10270,
Chile,10205,
Serbia,7916,
Philippines,7899,
Slovakia,7666,
Peru,7331,
Macao,7003,
Bulgaria,6957,
Slovenia,6526,
Croatia,6202,
Qatar,5894,
Kazakhstan,5332,
Luxembourg,5292,
Cyprus,4925,
Sri Lanka,3959,
Lebanon,3858,
Estonia,3853,
Cuba,3625,
Nepal,3590,
Uzbekistan,3468,
Oman,3036,
Ghana,2913,
Lithuania,2899,
Ethiopia,2892,
Costa Rica,2723,
Kenya,2653,
Latvia,2638,
Panama,2444,
Cameroon,2356,
Kuwait,2275,
North Macedonia,2132,
Yemen,2025,
Uruguay,1947,
"Venezuela, Bolivarian Republic of",1906,
Belarus,1842,
Azerbaijan,1708,
Bosnia and Herzegovina,1680,
Bahrain,1566,
"Palestine, State of",1558,
Mozambique,1507,
Sudan,1500,
Malta,1396,
Tajikistan,1246,
Mongolia,1228,
"Tanzania, United Republic of",1165,
Myanmar,1161,
Iceland,1090,
Libya,1055,
Armenia,1031,
Albania,981,
Puerto Rico,975,
Senegal,930,
"Moldova, Republic of",925,
Uganda,884,
South Sudan,880,
"Bolivia, Plurinational State of",828,
Georgia,794,
Burundi,781,
Brunei Darussalam,724,
Paraguay,678,
Mauritius,628,
Zimbabwe,603,
Botswana,602,
Cambodia,580,
Kosovo,570,
Montenegro,557,
Kyrgyzstan,536,
Syrian Arab Republic,522,
Guatemala,493,
Namibia,487,
Dominican Republic,477,
Zambia,456,
Côte d'Ivoire,434,
Rwanda,429,
Afghanistan,416,
Benin,414,
Fiji,414,
Jamaica,389,
Cayman Islands,372,
Mali,363,
Burkina Faso,341,
El Salvador,323,
Malawi,316,
Réunion,309,
Nicaragua,308,
"Congo, Democratic Republic of the",281,
Trinidad and Tobago,281,
Honduras,274,
Madagascar,207,
Angola,198,
Niger,196,
Liechtenstein,174,
Eswatini,153,
Congo,140,
Guadeloupe,133,
Papua New Guinea,131,
Bhutan,119,
"Virgin Islands, British",106,
Togo,104,
Somalia,90,
Faroe Islands,75,
Gambia,73,
Lao People's Democratic Republic,71,
Mauritania,69,
Sierra Leone,67,
Chad,66,
New Caledonia,63,
Lesotho,61,
"Korea, Democratic People's Republic of",57,
Sao Tome and Principe,56,
Liberia,50,
Guam,47,
Timor-Leste,47,
Guyana,46,
Maldives,46,
French Polynesia,44,
Gabon,42,
Barbados,41,
French Guiana,41,
Cabo Verde,35,
Guinea,35,
Turkmenistan,35,
Bahamas,31,
Saint Martin (French part),26,
Turks and Caicos Islands,26,
Palau,25,
Curaçao,24,
Djibouti,23,
Martinique,23,
Andorra,22,
Eritrea,21,
Belize,20,
Monaco,20,
Central African Republic,18,
"Virgin Islands, U.S.",18,
Haiti,17,
Antigua and Barbuda,16,
Greenland,16,
San Marino,16,
Holy See,16,
Grenada,14,
Guinea-Bissau,14,
Saint Kitts and Nevis,14,
Suriname,14,
